match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
1,12436870,man-utd,141,12/23 (52%),48%,2,2,,2,14,5,1/12 (8%),8,4/10 (40%),48%,1.31,20,0,4,3,1,21/46 (46%),0,9,12/26 (46%),0,185,40,,3,3,3,5,13,77%,0,9,1,8,13,0
1,12436870,fulham,150,11/23 (48%),52%,0,0,,3,13,7,5/17 (29%),7,5/11 (45%),52%,0.34,23,3,6,4,2,25/46 (54%),0,4,10/19 (53%),0,196,38,,4,3,1,3,14,71%,0,9,2,7,14,2
2,12436871,ipswich,137,5/15 (33%),34%,0,0,0,2,18,1,0/2 (0%),0,2/6 (33%),45%,0.15,16,0,4,5,3,15/29 (52%),0,6,5/17 (29%),5,167,17,,2,1,0,1,9,33%,0,9,3,3,9,0
2,12436871,liverpool,288,10/15 (67%),66%,6,4,2,5,8,4,4/11 (36%),4,9/14 (64%),55%,2.56,29,0,1,1,0,14/29 (48%),0,1,17/28 (61%),0,323,19,,12,5,5,3,4,50%,3,13,0,15,4,1
3,12436872,arsenal,123,7/12 (58%),41%,0,0,0,4,9,4,1/5 (20%),5,4/11 (36%),44%,0.52,18,1,5,3,2,20/50 (40%),0,2,6/19 (32%),0,157,21,,5,2,2,3,11,73%,,10,2,8,11,2
3,12436872,wolves,185,5/12 (42%),59%,0,0,0,0,7,2,3/10 (30%),6,6/11 (55%),56%,0.28,36,1,12,4,1,30/50 (60%),0,3,12/28 (43%),1,221,22,,4,4,2,2,12,50%,,8,1,6,12,0
4,12436873,everton,114,6/11 (55%),31%,0,0,0,3,7,0,1/4 (25%),4,0/4 (0%),46%,0.21,28,0,2,0,2,13/30 (43%),0,5,16/37 (43%),1,153,26,1,2,0,0,1,11,64%,,10,2,3,11,1
4,12436873,brighton,309,5/11 (45%),69%,1,1,0,1,6,4,3/11 (27%),6,2/7 (29%),54%,0.37,23,3,7,3,0,17/30 (57%),0,6,12/19 (63%),1,344,29,0,5,0,4,0,8,88%,,6,0,5,8,0
5,12436874,newcastle,31,5/9 (56%),16%,0,0,0,0,27,0,0/3 (0%),5,0/3 (0%),50%,0.00,17,1,8,6,3,18/37 (49%),0,3,7/22 (32%),0,60,21,0,0,0,0,0,10,80%,,5,3,0,10,1
5,12436874,southampton,282,4/9 (44%),84%,2,2,0,9,4,11,3/23 (13%),6,4/8 (50%),50%,1.38,35,2,7,2,0,19/37 (51%),0,1,10/13 (77%),0,316,22,0,11,2,4,4,8,25%,,8,0,15,8,2
6,12436875,forest,191,12/19 (63%),49%,0,0,0,2,20,2,3/8 (38%),4,2/4 (50%),55%,0.35,30,1,4,8,1,20/39 (51%),0,2,14/27 (52%),0,243,28,,4,0,3,1,14,43%,,13,1,5,14,1
6,12436875,bournemouth,193,7/19 (37%),51%,1,0,1,0,10,3,3/18 (17%),8,5/11 (45%),45%,0.67,33,1,8,2,3,19/39 (49%),0,7,14/36 (39%),1,246,38,,2,4,2,4,6,33%,,12,3,6,6,2
7,12436877,west-ham,171,7/14 (50%),51%,3,3,0,2,12,3,4/14 (29%),7,4/9 (44%),43%,1.50,14,0,5,2,0,16/40 (40%),0,1,10/23 (43%),0,203,29,,7,6,1,2,7,57%,0,4,0,9,7,0
7,12436877,aston-villa,164,7/14 (50%),49%,2,1,1,3,9,2,1/5 (20%),4,3/6 (50%),57%,0.81,33,1,10,5,2,24/40 (60%),0,3,7/23 (30%),1,203,25,,6,3,1,1,12,75%,1,9,2,7,12,1
8,12436879,brentford,123,12/23 (52%),40%,1,0,1,1,12,2,3/11 (27%),6,1/7 (14%),51%,1.09,23,2,6,3,5,16/32 (50%),0,5,10/28 (36%),0,172,31,,5,2,3,1,9,56%,0,8,5,6,9,0
8,12436879,crystal-palace,212,11/23 (48%),60%,1,1,0,3,19,6,1/10 (10%),4,1/6 (17%),49%,0.81,34,0,3,5,2,16/32 (50%),0,0,8/26 (31%),2,263,31,,4,2,5,6,12,75%,1,7,2,10,12,3
9,12436880,chelsea,197,2/5 (40%),44%,1,1,0,2,8,2,4/11 (36%),3,3/5 (60%),46%,0.72,26,0,5,2,1,17/36 (47%),0,6,8/18 (44%),0,228,21,,3,2,2,3,9,56%,0,8,1,6,9,1
9,12436880,man-city,268,3/5 (60%),56%,0,0,0,0,10,1,1/4 (25%),6,9/12 (75%),54%,0.22,22,1,5,2,2,19/36 (53%),0,7,9/22 (41%),1,303,22,,1,1,2,2,5,60%,0,13,2,3,5,1
10,12436881,leicester,111,6/11 (55%),31%,2,1,1,1,22,2,8/13 (62%),6,2/7 (29%),54%,0.98,17,2,9,2,2,24/45 (53%),0,5,6/21 (29%),1,147,25,,6,2,3,0,13,69%,1,8,2,6,13,1
10,12436881,tottenham,303,5/11 (45%),69%,1,1,0,2,13,4,2/10 (20%),7,6/12 (50%),46%,0.60,32,3,4,4,2,21/45 (47%),0,1,3/8 (38%),0,345,26,,5,1,2,0,11,45%,0,13,2,5,11,1
11,12436888,brighton,187,6/8 (75%),50%,1,0,1,3,4,4,5/10 (50%),2,7/15 (47%),58%,1.28,27,4,7,1,1,26/47 (55%),1,4,15/21 (71%),0,218,26,,8,4,4,3,12,83%,0,12,1,11,12,1
11,12436888,man-utd,202,2/8 (25%),50%,1,1,0,2,8,1,0/2 (0%),6,6/12 (50%),42%,0.99,22,0,5,2,2,21/47 (45%),0,7,11/17 (65%),3,227,29,,4,1,3,2,10,50%,0,5,2,6,10,2
12,12436892,crystal-palace,238,6/17 (35%),68%,1,1,,1,2,0,3/13 (23%),6,2/7 (29%),48%,0.59,41,3,11,5,1,26/49 (53%),1,3,18/34 (53%),2,280,23,,3,4,1,3,13,46%,0,11,1,6,13,1
12,12436892,west-ham,94,11/17 (65%),32%,0,0,,1,16,1,1/6 (17%),5,8/16 (50%),52%,0.62,23,0,4,8,1,23/49 (47%),0,5,14/26 (54%),2,131,28,,7,5,3,2,11,55%,2,4,1,9,11,1
13,12436894,fulham,191,6/14 (43%),49%,2,1,1,1,4,5,4/9 (44%),5,2/8 (25%),38%,0.61,25,3,6,3,1,17/46 (37%),0,6,10/22 (45%),0,225,26,,7,6,1,1,9,56%,,9,1,8,9,2
13,12436894,leicester,196,8/14 (57%),51%,0,0,0,1,10,2,2/7 (29%),6,7/10 (70%),62%,0.27,19,1,11,8,0,29/46 (63%),0,2,9/20 (45%),2,232,21,,3,3,1,2,11,64%,,6,0,5,11,2
14,12436898,man-city,376,1/4 (25%),77%,1,1,0,2,5,7,2/9 (22%),5,6/8 (75%),57%,0.53,33,3,6,1,0,16/26 (62%),0,4,5/6 (83%),3,402,17,,3,0,2,1,4,75%,0,8,0,4,4,2
14,12436898,ipswich,96,3/4 (75%),23%,0,0,0,0,20,1,1/4 (25%),2,1/3 (33%),43%,0.00,7,0,2,0,1,10/26 (38%),0,5,2/12 (17%),0,115,13,,0,0,0,0,7,43%,0,7,1,0,7,2
15,12436900,southampton,311,4/9 (44%),73%,0,0,0,1,7,3,1/11 (9%),9,6/11 (55%),47%,0.04,26,2,8,4,3,22/46 (48%),0,1,4/10 (40%),0,347,25,,1,0,0,0,8,50%,0,5,3,1,8,1
15,12436900,forest,99,5/9 (56%),27%,1,0,1,5,19,3,1/5 (20%),3,4/9 (44%),53%,0.92,15,0,6,3,0,24/46 (52%),0,8,10/24 (42%),1,131,26,,5,2,4,6,14,57%,0,6,0,11,14,3
16,12436902,tottenham,245,5/9 (56%),66%,2,0,2,1,3,4,3/7 (43%),11,4/12 (33%),51%,0.77,26,1,11,0,1,30/60 (50%),0,2,8/15 (53%),0,282,32,,3,1,2,1,15,67%,1,4,1,4,15,
16,12436902,everton,115,4/9 (44%),34%,0,0,0,1,3,1,1/5 (20%),4,5/16 (31%),49%,0.08,24,0,6,1,0,30/60 (50%),0,7,10/25 (40%),3,146,28,,2,0,1,0,19,63%,0,8,0,2,19,
17,12436886,aston-villa,166,4/6 (67%),49%,1,1,,4,6,4,3/7 (43%),6,7/13 (54%),60%,0.85,18,0,8,4,0,28/47 (60%),1,2,6/16 (38%),2,194,23,,5,2,2,3,14,50%,1,4,0,8,14,1
17,12436886,arsenal,189,2/6 (33%),51%,1,1,,1,11,0,0/6 (0%),8,2/8 (25%),40%,0.51,22,1,5,3,2,19/47 (40%),0,2,11/15 (73%),0,207,19,,2,2,2,3,12,58%,1,5,2,5,12,2
18,12436884,bournemouth,78,9/13 (69%),31%,1,1,0,4,22,7,3/11 (27%),4,0/5 (0%),43%,1.27,29,1,5,5,3,13/38 (34%),0,3,14/32 (44%),,109,28,,8,5,2,3,8,88%,0,8,3,11,8,1
18,12436884,newcastle,200,4/13 (31%),69%,4,3,1,4,9,6,7/22 (32%),5,5/8 (63%),57%,1.54,29,2,11,7,2,25/38 (66%),0,1,15/25 (60%),,249,27,,10,3,4,1,9,67%,1,12,2,11,9,2
19,12436904,wolves,141,2/5 (40%),39%,1,1,0,1,5,1,0/5 (0%),3,4/10 (40%),43%,0.21,19,1,5,2,0,18/42 (43%),0,6,7/21 (33%),2,180,28,,2,2,1,2,9,44%,0,8,0,4,9,1
19,12436904,chelsea,248,3/5 (60%),61%,3,0,3,2,5,1,0/1 (0%),2,7/14 (50%),57%,0.89,25,3,8,6,1,24/42 (57%),1,3,12/29 (41%),0,292,29,,6,2,4,2,9,67%,0,6,1,8,9,1
20,12436896,liverpool,320,3/8 (38%),68%,3,2,1,6,4,5,3/10 (30%),2,7/9 (78%),61%,1.94,40,0,2,3,1,17/25 (68%),2,5,12/26 (46%),1,351,29,,13,2,6,1,8,38%,,7,1,14,8,0
20,12436896,brentford,133,5/8 (63%),32%,1,1,0,1,10,2,2/4 (50%),2,1/7 (14%),39%,0.21,21,0,3,2,5,8/25 (32%),0,2,11/22 (50%),2,168,26,,2,1,1,1,4,50%,,9,5,3,4,1
21,12436906,arsenal,49,7/17 (41%),24%,2,2,0,1,15,1,1/2 (50%),2,3/6 (50%),43%,1.16,13,0,2,8,3,13/29 (45%),0,3,10/29 (34%),0,85,19,1,5,2,2,0,8,38%,0,8,3,5,8,3
21,12436906,brighton,239,10/17 (59%),76%,3,2,1,7,5,6,6/17 (35%),2,5/11 (45%),57%,1.67,29,2,6,2,2,16/29 (55%),0,0,13/14 (93%),1,265,23,0,13,8,4,6,5,80%,1,7,2,19,5,2
22,12436908,brentford,151,5/6 (83%),35%,3,1,2,4,13,0,1/4 (25%),5,1/4 (25%),44%,1.80,18,0,2,2,2,11/30 (37%),0,5,10/14 (71%),0,176,19,,9,2,4,1,8,50%,1,15,2,10,8,1
22,12436908,southampton,291,1/6 (17%),65%,1,1,0,3,6,4,1/9 (11%),5,6/9 (67%),56%,0.62,34,1,5,3,2,19/30 (63%),0,6,10/22 (45%),1,328,22,,5,4,3,5,8,88%,1,5,2,10,8,0
23,12436912,everton,107,13/24 (54%),46%,4,2,2,2,12,4,3/13 (23%),12,6/11 (55%),52%,1.64,36,3,6,3,4,23/45 (51%),1,7,20/39 (51%),0,153,33,,8,3,6,3,12,67%,1,11,4,11,12,2
23,12436912,bournemouth,132,11/24 (46%),54%,5,2,3,2,15,2,5/13 (38%),2,2/12 (17%),48%,1.96,24,0,3,7,4,22/45 (49%),0,2,10/30 (33%),1,180,29,,8,2,7,3,17,41%,0,11,4,11,17,1
24,12436915,ipswich,210,4/11 (36%),63%,0,0,0,3,7,5,2/10 (20%),4,7/7 (100%),52%,0.21,27,2,10,3,2,25/45 (56%),0,2,10/21 (48%),3,244,22,,4,2,2,3,8,88%,1,2,2,7,8,1
24,12436915,fulham,118,7/11 (64%),37%,0,0,0,2,7,3,2/9 (22%),4,10/14 (71%),48%,0.24,16,1,6,3,2,20/45 (44%),0,4,5/14 (36%),0,140,16,,4,0,2,0,4,25%,0,16,2,4,4,3
25,12436918,leicester,217,4/12 (33%),56%,1,0,1,1,12,0,2/10 (20%),6,4/6 (67%),48%,0.40,35,2,9,1,1,22/42 (52%),0,7,7/16 (44%),2,247,28,,3,5,2,5,9,44%,0,2,1,8,9,3
25,12436918,aston-villa,158,8/12 (67%),44%,1,0,1,1,15,2,3/6 (50%),7,6/8 (75%),52%,0.27,14,0,6,8,1,20/42 (48%),0,3,14/24 (58%),0,197,20,,3,1,2,1,8,50%,0,7,1,4,8,3
26,12436926,forest,134,9/20 (45%),54%,1,1,,5,5,5,3/12 (25%),8,5/13 (38%),43%,0.76,25,0,6,3,0,18/43 (42%),0,8,10/27 (37%),3,182,26,,10,2,3,0,7,71%,0,10,0,10,7,2
26,12436926,wolves,109,11/20 (55%),46%,0,0,,2,12,2,0/3 (0%),5,2/4 (50%),57%,0.12,29,1,7,3,3,25/43 (58%),0,7,11/32 (34%),0,162,27,,1,3,0,4,16,56%,0,9,3,5,16,1
27,12436927,west-ham,157,6/9 (67%),33%,1,1,0,3,6,3,4/9 (44%),4,7/10 (70%),51%,0.67,18,1,1,2,2,16/34 (47%),2,2,8/14 (57%),0,180,19,,6,4,1,2,8,50%,0,6,2,8,8,3
27,12436927,man-city,362,3/9 (33%),67%,2,1,1,1,11,4,4/10 (40%),5,5/8 (63%),49%,1.29,39,0,6,5,1,18/34 (53%),0,3,20/25 (80%),0,385,19,,4,2,3,2,7,86%,2,6,1,6,7,1
28,12436910,chelsea,266,8/10 (80%),68%,2,2,0,0,12,2,3/9 (33%),5,7/17 (41%),51%,0.75,43,2,3,1,1,17/39 (44%),0,1,14/21 (67%),0,297,25,,4,2,4,2,7,43%,1,9,1,6,7,2
28,12436910,crystal-palace,98,2/10 (20%),32%,0,0,0,4,13,4,2/7 (29%),4,4/7 (57%),49%,0.44,21,1,3,6,4,22/39 (56%),0,5,6/26 (23%),1,135,24,,4,0,2,2,15,67%,0,8,4,6,15,1
29,12436923,newcastle,89,2/8 (25%),33%,1,0,1,2,19,3,1/5 (20%),5,5/11 (45%),41%,1.10,20,1,7,6,4,20/46 (43%),0,8,7/22 (32%),1,126,25,,3,0,2,1,8,25%,1,8,4,4,8,1
29,12436923,tottenham,209,6/8 (75%),67%,2,2,0,4,7,8,1/16 (6%),4,9/13 (69%),59%,0.96,32,2,7,0,1,26/46 (57%),1,3,4/13 (31%),1,248,29,,8,4,4,4,11,91%,0,10,1,12,11,3
30,12436920,man-utd,211,1/10 (10%),55%,3,3,0,0,3,3,6/13 (46%),10,4/14 (29%),43%,1.28,22,1,4,5,0,24/48 (50%),0,2,8/14 (57%),0,241,26,,3,4,2,3,16,63%,,14,0,6,16,1
30,12436920,liverpool,171,9/10 (90%),45%,4,3,1,1,15,1,2/3 (67%),10,2/8 (25%),57%,1.11,14,0,2,4,2,24/48 (50%),0,5,7/21 (33%),1,206,25,,6,5,1,1,20,70%,,12,2,7,20,1
31,12436949,southampton,205,2/5 (40%),40%,0,0,0,0,10,0,0/2 (0%),3,0/6 (0%),44%,0.00,12,0,6,3,1,19/43 (44%),0,7,4/15 (27%),,239,23,1,0,0,0,0,13,69%,0,6,1,0,13,1
31,12436949,man-utd,329,3/5 (60%),60%,2,1,1,5,3,3,0/5 (0%),8,8/13 (62%),56%,1.03,35,0,7,0,0,24/43 (56%),0,7,7/15 (47%),,360,29,0,5,2,2,4,9,56%,1,11,0,9,9,3
32,12436936,brighton,220,8/20 (40%),66%,0,0,,9,4,5,1/20 (5%),6,4/8 (50%),48%,0.88,34,4,6,3,1,21/40 (53%),0,3,9/13 (69%),0,260,28,,5,4,2,10,11,55%,0,6,1,15,11,4
32,12436936,ipswich,95,12/20 (60%),34%,1,1,,1,22,2,1/5 (20%),4,3/10 (30%),52%,0.35,18,0,6,5,2,19/40 (48%),1,7,8/23 (35%),1,133,26,,3,4,1,3,10,60%,1,8,2,6,10,2
33,12436938,crystal-palace,249,10/16 (63%),71%,2,0,2,5,4,2,3/22 (14%),9,2/3 (67%),59%,1.76,36,2,9,2,1,24/42 (57%),0,2,14/25 (56%),3,292,28,,7,2,3,3,13,69%,0,8,1,10,13,0
33,12436938,leicester,77,6/16 (38%),29%,1,0,1,0,16,0,1/3 (33%),10,5/8 (63%),41%,0.33,23,0,3,3,1,18/42 (43%),0,6,9/31 (29%),0,123,22,,2,2,2,2,10,30%,0,11,1,4,10,3
34,12436941,fulham,157,8/13 (62%),56%,2,2,0,4,10,0,6/12 (50%),3,8/10 (80%),66%,0.76,26,1,12,4,2,38/57 (67%),0,10,10/25 (40%),0,200,24,,9,5,1,1,18,61%,,13,2,10,18,2
34,12436941,west-ham,113,5/13 (38%),44%,1,1,0,1,13,2,3/8 (38%),14,4/8 (50%),34%,0.64,19,4,10,7,1,19/57 (33%),0,4,7/23 (30%),1,156,29,,5,3,3,2,5,80%,,12,1,7,5,3
35,12436944,liverpool,278,5/12 (42%),73%,0,0,,2,4,3,3/8 (38%),4,4/9 (44%),42%,0.29,39,0,3,3,2,13/31 (42%),0,5,11/27 (41%),0,330,27,,5,3,3,3,6,67%,0,15,2,8,6,4
35,12436944,forest,82,7/12 (58%),27%,2,2,,0,17,0,0/1 (0%),3,3/6 (50%),58%,0.44,36,1,6,7,3,18/31 (58%),0,9,12/34 (35%),1,126,28,,3,2,3,2,9,78%,1,14,3,5,9,2
36,12436946,man-city,272,5/9 (56%),60%,1,1,0,3,1,7,0/6 (0%),7,2/9 (22%),36%,1.49,29,2,2,3,0,8/27 (30%),1,2,12/18 (67%),0,308,22,,5,4,4,6,4,25%,1,14,0,11,4,2
36,12436946,brentford,169,4/9 (44%),40%,0,0,0,0,13,0,1/4 (25%),4,0/0 (0%),64%,0.04,16,0,5,4,4,19/27 (70%),0,4,9/27 (33%),0,205,25,,0,1,0,1,14,71%,0,4,4,1,14,1
37,12436933,aston-villa,275,1/5 (20%),68%,3,2,1,2,7,3,3/10 (30%),7,0/6 (0%),39%,1.13,47,2,6,0,0,14/33 (42%),0,2,9/18 (50%),1,300,21,,7,5,3,3,8,75%,1,14,0,10,8,1
37,12436933,everton,111,4/5 (80%),32%,1,1,0,1,14,1,3/8 (38%),5,3/6 (50%),61%,0.23,17,1,3,7,1,19/33 (58%),1,1,11/23 (48%),1,139,15,,3,2,0,0,13,77%,2,8,1,3,13,2
38,12436931,bournemouth,109,4/8 (50%),35%,0,0,0,3,7,3,1/7 (14%),3,5/10 (50%),46%,0.48,35,2,5,2,1,18/40 (45%),1,4,17/33 (52%),2,151,35,,5,2,3,3,8,50%,0,8,1,8,8,3
38,12436931,chelsea,246,4/8 (50%),65%,1,0,1,2,11,1,0/4 (0%),4,8/12 (67%),54%,0.60,29,1,6,5,3,22/40 (55%),0,3,10/21 (48%),2,286,30,,3,1,2,2,8,63%,0,10,3,5,8,5
39,12436951,tottenham,192,8/16 (50%),61%,0,0,0,4,6,4,5/20 (25%),3,4/11 (36%),49%,0.35,26,1,3,1,0,16/33 (48%),0,4,6/17 (35%),2,224,23,,5,2,4,5,9,89%,,15,0,10,9,0
39,12436951,arsenal,118,8/16 (50%),39%,1,0,1,1,25,1,1/5 (20%),5,4/8 (50%),51%,0.30,16,0,3,4,4,17/33 (52%),0,6,10/25 (40%),3,153,25,,2,0,1,0,10,70%,,10,4,2,10,1
40,12436954,wolves,222,5/13 (38%),62%,1,1,0,1,13,2,3/14 (21%),5,5/9 (56%),43%,0.46,33,0,1,6,3,18/40 (45%),1,3,16/30 (53%),1,261,17,,7,3,3,0,12,58%,1,12,3,7,12,3
40,12436954,newcastle,136,8/13 (62%),38%,1,1,0,3,16,5,1/8 (13%),8,6/10 (60%),57%,1.22,28,1,7,3,3,22/40 (55%),0,2,7/19 (37%),1,162,21,,6,3,5,5,9,56%,0,6,3,11,9,2
41,12436980,west-ham,242,4/9 (44%),56%,0,0,0,3,10,2,2/15 (13%),4,2/10 (20%),33%,0.45,36,0,3,2,2,13/42 (31%),0,6,12/20 (60%),0,266,27,,2,0,4,5,9,44%,1,5,2,7,9,5
41,12436980,chelsea,176,5/9 (56%),44%,2,1,1,2,11,5,2/7 (29%),6,5/8 (63%),67%,1.26,23,0,12,2,4,29/42 (69%),0,3,9/20 (45%),1,206,29,,7,2,3,0,12,42%,0,5,4,7,12,1
42,12436957,aston-villa,211,5/8 (63%),69%,5,2,3,1,6,4,4/12 (33%),10,5/11 (45%),45%,1.65,34,3,7,1,0,18/43 (42%),0,5,6/14 (43%),0,242,21,,5,2,4,2,6,50%,0,8,0,7,6,2
42,12436957,wolves,74,3/8 (38%),31%,0,0,0,0,12,1,0/2 (0%),4,2/4 (50%),55%,0.00,9,1,7,5,0,25/43 (58%),0,5,6/24 (25%),4,112,21,,0,0,0,0,16,44%,0,5,0,0,16,3
43,12436964,fulham,137,2/12 (17%),38%,2,1,1,0,6,3,3/8 (38%),0,3/8 (38%),43%,1.01,25,1,4,9,2,17/32 (53%),0,5,6/22 (27%),0,169,25,,7,5,4,2,10,40%,0,6,2,9,10,2
43,12436964,newcastle,255,10/12 (83%),62%,1,1,0,2,7,0,2/6 (33%),7,5/8 (63%),57%,1.43,19,1,6,6,3,15/32 (47%),0,4,5/12 (42%),2,283,24,,8,6,3,3,5,60%,1,14,3,11,5,0
44,12436967,leicester,185,10/19 (53%),63%,2,1,1,2,8,4,4/15 (27%),7,5/9 (56%),52%,0.55,30,3,7,2,1,25/48 (52%),0,2,14/20 (70%),2,223,27,,6,5,1,2,13,77%,0,14,1,8,13,1
44,12436967,everton,99,9/19 (47%),37%,2,2,0,4,13,0,0/6 (0%),6,6/13 (46%),48%,0.34,28,2,6,7,0,23/48 (48%),0,5,16/27 (59%),2,132,25,,5,1,1,1,11,64%,2,12,0,6,11,2
45,12436969,liverpool,234,4/7 (57%),53%,1,1,0,3,13,1,1/3 (33%),6,11/15 (73%),53%,0.96,26,0,3,3,5,26/50 (52%),1,1,11/19 (58%),0,265,33,,6,1,5,3,12,67%,1,7,5,9,12,1
45,12436969,bournemouth,194,3/7 (43%),47%,1,1,0,4,5,6,3/18 (17%),3,7/16 (44%),47%,0.62,25,2,7,0,4,24/50 (48%),1,5,13/23 (57%),1,220,33,,7,3,4,4,10,50%,0,8,4,11,10,1
46,12436973,southampton,206,5/17 (29%),54%,2,2,0,3,14,2,0/6 (0%),7,5/8 (63%),44%,1.29,32,3,9,4,1,21/42 (50%),0,4,6/16 (38%),3,238,19,,7,3,2,1,7,43%,2,5,1,8,7,3
46,12436973,ipswich,168,12/17 (71%),46%,1,1,0,1,10,2,2/11 (18%),2,4/9 (44%),56%,0.69,18,1,7,1,2,21/42 (50%),0,6,6/12 (50%),0,198,21,,3,2,2,2,10,50%,0,7,2,5,10,4
47,12436977,tottenham,172,2/5 (40%),44%,4,3,1,1,10,5,1/9 (11%),10,6/15 (40%),44%,1.30,24,1,5,2,2,21/47 (45%),0,8,8/15 (53%),0,210,36,,6,1,4,0,10,50%,2,9,2,6,10,2
47,12436977,brentford,228,3/5 (60%),56%,1,1,0,0,8,2,0/6 (0%),4,2/8 (25%),56%,0.28,24,1,5,7,3,26/47 (55%),0,2,25/36 (69%),2,271,34,,2,0,2,0,19,47%,0,8,3,2,19,1
48,12436962,crystal-palace,105,9/18 (50%),33%,2,2,,1,15,3,6/10 (60%),4,3/8 (38%),49%,0.84,16,1,5,5,2,17/35 (49%),0,7,13/34 (38%),1,154,30,,6,3,3,1,9,56%,0,6,2,7,9,3
48,12436962,man-utd,278,9/18 (50%),67%,0,0,,2,10,4,0/7 (0%),5,5/9 (56%),51%,0.28,33,1,4,4,3,18/35 (51%),1,4,3/24 (13%),0,331,23,,3,2,2,3,9,33%,1,14,3,6,9,1
49,12436959,brighton,271,10/14 (71%),75%,1,1,0,6,2,6,7/28 (25%),7,9/14 (64%),54%,0.58,36,2,5,0,1,17/36 (47%),0,2,11/15 (73%),0,301,19,0,5,1,1,3,3,67%,0,9,1,8,3,1
49,12436959,forest,74,4/14 (29%),25%,1,0,1,1,28,1,0/3 (0%),3,4/4 (100%),46%,0.56,16,0,3,6,1,19/36 (53%),0,4,3/24 (13%),3,107,19,1,2,0,1,0,12,50%,0,4,1,2,12,5
50,12436971,man-city,392,9/15 (60%),88%,3,2,1,12,5,6,4/15 (27%),4,4/9 (44%),48%,1.40,22,1,3,1,1,10/25 (40%),0,0,9/12 (75%),0,415,23,0,12,7,9,16,3,67%,0,9,1,28,3,1
50,12436971,arsenal,29,6/15 (40%),12%,1,1,0,0,24,0,0/1 (0%),1,3/5 (60%),52%,0.07,19,1,3,9,8,15/25 (60%),0,2,9/29 (31%),0,60,23,0,1,0,1,0,9,67%,0,1,8,1,9,3
51,12436999,newcastle,123,6/10 (60%),34%,2,1,1,0,14,0,2/3 (67%),9,7/9 (78%),53%,1.26,18,1,5,5,3,24/47 (51%),0,7,10/24 (42%),1,163,33,,5,3,2,0,12,42%,1,6,3,5,12,2
